No,Company,Employees,OutputVat,InputVat,Netvat,Sector,Industry,Year,,,,,,,,
1524,JPMorgan Chase,2710,12720200,7886800,4833400,Financials,Commercial Banks,2022,,,,,,,,
1525,General Motors,1570,12700400,11698500,1001900,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1526,Centene,725,12598200,12463500,134700,Health Care,Health Care: Insurance and Managed Care,2022,,,,,,,,
1527,Meta Platforms,720,11792900,7855900,3937000,Technology,Internet Services and Retailing,2022,,,,,,,,
1528,Comcast,1890,11638500,10222600,1415900,Telecommunications,Telecommunications,2022,,,,,,,,
1529,Phillips 66,140,11485200,11353500,131700,Energy,Petroleum Refining,2022,,,,,,,,
1530,Valero Energy,98,10833200,10740200,93000,Energy,Petroleum Refining,2022,,,,,,,,
1531,Dell Technologies,1330,10699500,10143200,556300,Technology,"Computers, Office Equipment",2022,,,,,,,,
1532,Target,4500,10600500,9905900,694600,Retailing,General Merchandisers,2022,,,,,,,,
1533,Fannie Mae,74,10154300,7936700,2217600,Financials,Diversified Financials,2022,,,,,,,,
1534,United Parcel Service,4009,9728700,8439700,1289000,Transportation,"Mail, Package and Freight Delivery",2022,,,,,,,,
1535,Lowe's,2700,9625000,8780800,844200,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1536,Bank of America,2082,9385100,6187300,3197800,Financials,Commercial Banks,2022,,,,,,,,
1537,Johnson & Johnson,1417,9377500,7289700,2087800,Health Care,Pharmaceuticals,2022,,,,,,,,
1538,Archer Daniels Midland,400,8524900,8254000,270900,"Food, Beverages & Tobacco",Food Production,2022,,,,,,,,
1539,FedEx,4840,8395900,7872800,523100,Transportation,"Mail, Package and Freight Delivery",2022,,,,,,,,
1540,Humana,955,8306400,8013100,293300,Health Care,Health Care: Insurance and Managed Care,2022,,,,,,,,
1541,Wells Fargo,2478,8240700,6085900,2154800,Financials,Commercial Banks,2022,,,,,,,,
1542,State Farm Insurance,536,8222470,8094380,128090,Financials,Insurance: Property and Casualty (Mutual),2022,,,,,,,,
1543,Pfizer,790,8128800,5930900,2197900,Health Care,Pharmaceuticals,2022,,,,,,,,
1544,Citigroup,2218,7986500,5791300,2195200,Financials,Commercial Banks,2022,,,,,,,,
1545,PepsiCo,3090,7947400,7185600,761800,"Food, Beverages & Tobacco",Food Consumer Products,2022,,,,,,,,
1546,Intel,1211,7902400,5915600,1986800,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1547,Procter & Gamble,1010,7611800,6181200,1430600,Household Products,Household and Personal Products,2022,,,,,,,,
1548,General Electric,1680,7419600,8071600,-652000,Industrials,Industrial Machinery,2022,,,,,,,,
1549,IBM,2978,7234400,6660100,574300,Technology,Information Technology Services,2022,,,,,,,,
1550,MetLife,430,7108000,6452600,655400,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1551,Prudential Financial,409,7093400,6321000,772400,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1552,Albertsons,3000,6969040,6884020,85020,Food & Drug Stores,Food and Drug Stores,2022,,,,,,,,
1553,Walt Disney,1710,6741800,6542300,199500,Media,Entertainment,2022,,,,,,,,
1554,Energy Transfer,126,6741700,6194700,547000,Energy,Pipelines,2022,,,,,,,,
1555,Lockheed Martin,1140,6704400,6072900,631500,Aerospace & Defense,Aerospace and Defense,2022,,,,,,,,
1556,Freddie Mac,73,6589800,5378900,1210900,Financials,Diversified Financials,2022,,,,,,,,
1557,Goldman Sachs Group,439,6498900,4335400,2163500,Financials,Commercial Banks,2022,,,,,,,,
1558,Raytheon Technologies,1740,6438800,6052400,386400,Aerospace & Defense,Aerospace and Defense,2022,,,,,,,,
1559,HP,510,6348700,5698400,650300,Technology,"Computers, Office Equipment",2022,,,,,,,,
1560,Boeing,1420,6228600,6648800,-420200,Aerospace & Defense,Aerospace and Defense,2022,,,,,,,,
1561,Morgan Stanley,748,6112100,4608700,1503400,Financials,Commercial Banks,2022,,,,,,,,
1562,HCA Healthcare,2440,5875200,5179600,695600,Health Care,Health Care: Medical Facilities,2022,,,,,,,,
1563,AbbVie,500,5619700,4465500,1154200,Health Care,Pharmaceuticals,2022,,,,,,,,
1564,Dow,357,5496800,4865700,631100,Chemicals,Chemicals,2022,,,,,,,,
1565,Tesla,993,5382300,4830400,551900,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1566,Allstate,545,5322800,5162900,159900,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1567,American International Group,366,5205700,4266900,938800,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1568,Best Buy,814,5176100,4930700,245400,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1569,Charter Communications,937,5168200,4702800,465400,Telecommunications,Telecommunications,2022,,,,,,,,
1570,Sysco,577,5129780,5077360,52420,Wholesalers,Wholesalers: Food and Grocery,2022,,,,,,,,
1571,Merck,675,5121600,3816700,1304900,Health Care,Pharmaceuticals,2022,,,,,,,,
1572,New York Life Insurance,143,5119850,5092140,27710,Financials,"Insurance: Life, Health (Mutual)",2022,,,,,,,,
1573,Caterpillar,1077,5097100,4448200,648900,Industrials,Construction and Farm Machinery,2022,,,,,,,,
1574,Cisco Systems,795,4981800,3922700,1059100,Technology,Network and Other Communications Equipment,2022,,,,,,,,
1575,TJX,3400,4855000,4526720,328280,Retailing,Specialty Retailers: Apparel,2022,,,,,,,,
1576,Publix Super Markets,2320,4839390,4398170,441220,Food & Drug Stores,Food and Drug Stores,2022,,,,,,,,
1577,ConocoPhillips,99,4834900,4027000,807900,Energy,"Mining, Crude-Oil Production",2022,,,,,,,,
1578,Liberty Mutual Insurance Group,450,4820000,4513200,306800,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1579,Progressive,491,4770200,4435110,335090,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1580,Nationwide,241,4737600,4575880,161720,Financials,Insurance: Property and Casualty (Mutual),2022,,,,,,,,
1581,Tyson Foods,1370,4704900,4400200,304700,"Food, Beverages & Tobacco",Food Production,2022,,,,,,,,
1582,Bristol-Myers Squibb,322,4638500,3939100,699400,Health Care,Pharmaceuticals,2022,,,,,,,,
1583,Nike,733,4453800,3881100,572700,Apparel,Apparel,2022,,,,,,,,
1584,Deere,756,4402400,3806100,596300,Industrials,Construction and Farm Machinery,2022,,,,,,,,
1585,American Express,640,4366300,3560300,806000,Financials,Diversified Financials,2022,,,,,,,,
1586,Abbott Laboratories,1130,4307500,3600400,707100,Health Care,Medical Products and Equipment,2022,,,,,,,,
1587,StoneX Group,32,4253420,4241790,11630,Financials,Diversified Financials,2022,,,,,,,,
1588,Plains GP Holdings,41,4207800,4201800,6000,Energy,Pipelines,2022,,,,,,,,
1589,Enterprise Products Partners,69,4080690,3616920,463770,Energy,Pipelines,2022,,,,,,,,
1590,TIAA,151,4052640,3646570,406070,Financials,"Insurance: Life, Health (Mutual)",2022,,,,,,,,
1591,Oracle,1320,4047900,2673300,1374600,Technology,Computer Software,2022,,,,,,,,
1592,Thermo Fisher Scientific,1290,3921100,3148600,772500,Technology,"Scientific, Photographic and Control Equipment",2022,,,,,,,,
1593,Coca-Cola,790,3865500,2888400,977100,"Food, Beverages & Tobacco",Beverages,2022,,,,,,,,
1594,General Dynamics,1031,3846900,3521200,325700,Aerospace & Defense,Aerospace and Defense,2022,,,,,,,,
1595,CHS,99,3844800,3789400,55400,"Food, Beverages & Tobacco",Food Production,2022,,,,,,,,
1596,USAA,373,3746960,3416960,330000,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1597,Northwestern Mutual,76,3675120,3577340,97780,Financials,"Insurance: Life, Health (Mutual)",2022,,,,,,,,
1598,Nucor,288,3648390,2965640,682750,Materials,Metals,2022,,,,,,,,
1599,Exelon,315,3634700,3464100,170600,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1600,Massachusetts Mutual Life Insurance,101,3589950,3558020,31930,Financials,"Insurance: Life, Health (Mutual)",2022,,,,,,,,
1601,Northrop Grumman,880,3566700,2866200,700500,Aerospace & Defense,Aerospace and Defense,2022,,,,,,,,
1602,3M,950,3535500,2943400,592100,Chemicals,Chemicals,2022,,,,,,,,
1603,Travelers,305,3481600,3115400,366200,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1604,Arrow Electronics,207,3447700,3336880,110820,Wholesalers,Wholesalers: Electronics and Office Equipment,2022,,,,,,,,
1605,Honeywell International,990,3439200,2885000,554200,Industrials,"Electronics, Electrical Equip.",2022,,,,,,,,
1606,Dollar General,1630,3422040,3182120,239920,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1607,Qualcomm,450,3356600,2452300,904300,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1608,Capital One Financial,508,3203300,1964300,1239000,Financials,Commercial Banks,2022,,,,,,,,
1609,TD Synnex,270,3161420,3121910,39510,Wholesalers,Wholesalers: Electronics and Office Equipment,2022,,,,,,,,
1610,Philip Morris International,696,3140500,2229600,910900,"Food, Beverages & Tobacco",Tobacco,2022,,,,,,,,
1611,World Fuel Services,44,3133700,3126330,7370,Energy,Energy,2022,,,,,,,,
1612,Performance Food Group,229,3039890,3035820,4070,Wholesalers,Wholesalers: Food and Grocery,2022,,,,,,,,
1613,Delta Air Lines,830,2989900,2961900,28000,Transportation,Airlines,2022,,,,,,,,
1614,American Airlines Group,1234,2988200,3187500,-199300,Transportation,Airlines,2022,,,,,,,,
1615,Netflix,113,2969780,2458160,511620,Media,Entertainment,2022,,,,,,,,
1616,Paramount Global,251,2957900,2503600,454300,Media,Entertainment,2022,,,,,,,,
1617,US Foods Holding,280,2948700,2932300,16400,Wholesalers,Wholesalers: Food and Grocery,2022,,,,,,,,
1618,Danaher,790,2945300,2302000,643300,Health Care,Medical Products and Equipment,2022,,,,,,,,
1619,Jabil,2380,2928500,2858900,69600,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1620,Starbucks,3830,2906060,2486130,419930,"Hotels, Restaurants & Leisure",Food Services,2022,,,,,,,,
1621,Mondelez International,790,2872000,2442000,430000,"Food, Beverages & Tobacco",Food Consumer Products,2022,,,,,,,,
1622,Eli Lilly,352,2831840,2273670,558170,Health Care,Pharmaceuticals,2022,,,,,,,,
1623,Hewlett Packard Enterprise,604,2778400,2435700,342700,Technology,"Computers, Office Equipment",2022,,,,,,,,
1624,D.R. Horton,118,2777420,2359840,417580,Engineering & Construction,Homebuilders,2022,,,,,,,,
1625,Molina Healthcare,140,2777100,2711200,65900,Health Care,Health Care: Insurance and Managed Care,2022,,,,,,,,
1626,CBRE Group,1050,2774600,2590940,183660,Financials,Real Estate,2022,,,,,,,,
1627,Micron Technology,430,2770500,2184400,586100,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1628,Broadcom,200,2745000,2071400,673600,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1629,Gilead Sciences,144,2730500,2108000,622500,Health Care,Pharmaceuticals,2022,,,,,,,,
1630,PBF Energy,34,2725340,2702240,23100,Energy,Petroleum Refining,2022,,,,,,,,
1631,Lennar,108,2713070,2270060,443010,Engineering & Construction,Homebuilders,2022,,,,,,,,
1632,United Natural Foods,283,2699200,2684300,14900,Wholesalers,Wholesalers: Food and Grocery,2022,,,,,,,,
1633,NRG Energy,66,2698900,2480200,218700,Energy,Energy,2022,,,,,,,,
1634,Nvidia,225,2691400,1716200,975200,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1635,Occidental Petroleum,117,2677200,2445000,232200,Energy,"Mining, Crude-Oil Production",2022,,,,,,,,
1636,Salesforce,735,2649200,2504800,144400,Technology,Computer Software,2022,,,,,,,,
1637,Dollar Tree,1362,2632120,2499330,132790,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1638,KKR,32,2614130,2147480,466650,Financials,Securities,2022,,,,,,,,
1639,Kraft Heinz,360,2604200,2503000,101200,"Food, Beverages & Tobacco",Food Consumer Products,2022,,,,,,,,
1640,Amgen,242,2597900,2008600,589300,Health Care,Pharmaceuticals,2022,,,,,,,,
1641,AutoNation,222,2584400,2447100,137300,Retailing,"Automotive Retailing, Services",2022,,,,,,,,
1642,Penske Automotive Group,248,2555470,2436690,118780,Retailing,"Automotive Retailing, Services",2022,,,,,,,,
1643,PayPal,309,2537100,2120200,416900,Business Services,Financial Data Services,2022,,,,,,,,
1644,Macy's,889,2529200,2386200,143000,Retailing,General Merchandisers,2022,,,,,,,,
1645,Duke Energy,276,2467700,2076900,390800,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1646,United Airlines Holdings,841,2463400,2659800,-196400,Transportation,Airlines,2022,,,,,,,,
1647,Visa,215,2410500,1179400,1231100,Business Services,Financial Data Services,2022,,,,,,,,
1648,Rite Aid,500,2404340,2413430,-9090,Food & Drug Stores,Food and Drug Stores,2022,,,,,,,,
1649,Cummins,599,2402100,2189000,213100,Industrials,Industrial Machinery,2022,,,,,,,,
1650,U.S. Bancorp,688,2371400,1575100,796300,Financials,Commercial Banks,2022,,,,,,,,
1651,Paccar,285,2352230,2167020,185210,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1652,McDonald's,2000,2322290,1567770,754520,"Hotels, Restaurants & Leisure",Food Services,2022,,,,,,,,
1653,Southern,272,2311300,2072000,239300,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1654,C.H. Robinson Worldwide,169,2310210,2225790,84420,Transportation,Transportation and Logistics,2022,,,,,,,,
1655,Truist Financial,515,2306400,1662400,644000,Financials,Commercial Banks,2022,,,,,,,,
1656,Applied Materials,270,2306300,1717500,588800,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1657,Freeport-McMoRan,247,2284500,1853900,430600,Energy,"Mining, Crude-Oil Production",2022,,,,,,,,
1658,Lithia Motors,212,2283170,2177170,106000,Retailing,"Automotive Retailing, Services",2022,,,,,,,,
1659,Blackstone,38,2257710,1671970,585740,Financials,Diversified Financials,2022,,,,,,,,
1660,Hartford Financial Services Group,181,2239000,2002500,236500,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1661,Aflac,124,2210600,1778100,432500,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1662,Whirlpool,690,2198500,2020200,178300,Industrials,"Electronics, Electrical Equip.",2022,,,,,,,,
1663,Union Pacific,321,2180400,1528100,652300,Transportation,Railroads,2022,,,,,,,,
1664,International Paper,382,2178000,2002800,175200,Materials,"Packaging, Containers",2022,,,,,,,,
1665,Altria Group,60,2111100,1863600,247500,"Food, Beverages & Tobacco",Tobacco,2022,,,,,,,,
1666,CDW,139,2082080,1983220,98860,Technology,Information Technology Services,2022,,,,,,,,
1667,ManpowerGroup,300,2072440,2034200,38240,Business Services,Temporary Help,2022,,,,,,,,
1668,PG&E,260,2064200,2074400,-10200,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1669,Carrier Global,580,2061300,1894900,166400,Industrials,Industrial Machinery,2022,,,,,,,,
1670,Baker Hughes,540,2050200,2072100,-21900,Energy,"Oil and Gas Equipment, Services",2022,,,,,,,,
1671,Cleveland-Cliffs,260,2044400,1745600,298800,Materials,Metals,2022,,,,,,,,
1672,United States Steel,245,2027500,1610100,417400,Materials,Metals,2022,,,,,,,,
1673,Becton Dickinson,750,2024800,1815600,209200,Health Care,Medical Products and Equipment,2022,,,,,,,,
1674,CarMax,269,2009210,1934520,74690,Retailing,"Automotive Retailing, Services",2022,,,,,,,,
1675,Sherwin-Williams,616,1994460,1808020,186440,Chemicals,Chemicals,2022,,,,,,,,
1676,Builders FirstSource,280,1989390,1816850,172540,Materials,"Building Materials, Glass",2022,,,,,,,,
1677,Marsh & McLennan,830,1982000,1667700,314300,Financials,Diversified Financials,2022,,,,,,,,
1678,PNC Financial Services Group,585,1969800,1402400,567400,Financials,Commercial Banks,2022,,,,,,,,
1679,Lumen Technologies,360,1968700,1765400,203300,Telecommunications,Telecommunications,2022,,,,,,,,
1680,Avnet,145,1953470,1934160,19310,Wholesalers,Wholesalers: Electronics and Office Equipment,2022,,,,,,,,
1681,Tenet Healthcare,890,1948500,1857100,91400,Health Care,Health Care: Medical Facilities,2022,,,,,,,,
1682,Kimberly-Clark,450,1944000,1762600,181400,Household Products,Household and Personal Products,2022,,,,,,,,
1683,Kohl's,670,1943300,1849500,93800,Retailing,General Merchandisers,2022,,,,,,,,
1684,BlackRock,184,1937400,1347300,590100,Financials,Securities,2022,,,,,,,,
1685,Jones Lang LaSalle,982,1936700,1840540,96160,Financials,Real Estate,2022,,,,,,,,
1686,Lear,1601,1926310,1888920,37390,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1687,Lincoln National,108,1923000,1782500,140500,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1688,Charles Schwab,334,1899600,1314100,585500,Financials,Securities,2022,,,,,,,,
1689,Ross Stores,1000,1891620,1719360,172260,Retailing,Specialty Retailers: Apparel,2022,,,,,,,,
1690,Mastercard,240,1888400,1019700,868700,Business Services,Financial Data Services,2022,,,,,,,,
1691,Genuine Parts,520,1887050,1797170,89880,Wholesalers,Wholesalers: Diversified,2022,,,,,,,,
1692,WestRock,499,1874610,1790780,83830,Materials,"Packaging, Containers",2022,,,,,,,,
1693,EOG Resources,28,1864200,1397800,466400,Energy,"Mining, Crude-Oil Production",2022,,,,,,,,
1694,Cognizant Technology Solutions,3306,1850700,1637000,213700,Technology,Information Technology Services,2022,,,,,,,,
1695,Moderna,27,1847100,626900,1220200,Health Care,Pharmaceuticals,2022,,,,,,,,
1696,Steel Dynamics,106,1840890,1519480,321410,Materials,Metals,2022,,,,,,,,
1697,HF Sinclair,42,1838910,1783080,55830,Energy,Petroleum Refining,2022,,,,,,,,
1698,Texas Instruments,310,1834400,1057500,776900,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1699,Emerson Electric,867,1823600,1593300,230300,Industrials,Industrial Machinery,2022,,,,,,,,
1700,WESCO International,180,1821750,1775210,46540,Wholesalers,Wholesalers: Diversified,2022,,,,,,,,
1701,General Mills,350,1812700,1578720,233980,"Food, Beverages & Tobacco",Food Consumer Products,2022,,,,,,,,
1702,Tenneco,710,1803500,1800000,3500,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1703,Waste Management,485,1793100,1611500,181600,Business Services,Waste Management,2022,,,,,,,,
1704,Viatris,370,1788630,1915540,-126910,Health Care,Pharmaceuticals,2022,,,,,,,,
1705,DISH Network,145,1788110,1547050,241060,Telecommunications,Telecommunications,2022,,,,,,,,
1706,L3Harris Technologies,470,1781400,1596800,184600,Aerospace & Defense,Aerospace and Defense,2022,,,,,,,,
1707,DXC Technology,1340,1772900,1787800,-14900,Technology,Information Technology Services,2022,,,,,,,,
1708,Block,85,1766120,1749490,16630,Business Services,Financial Data Services,2022,,,,,,,,
1709,Goodyear Tire & Rubber,720,1747800,1671400,76400,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1710,Uber Technologies,293,1745500,1795100,-49600,Technology,Internet Services and Retailing,2022,,,,,,,,
1711,Colgate-Palmolive,338,1742100,1525500,216600,Household Products,Household and Personal Products,2022,,,,,,,,
1712,Stanley Black & Decker,713,1725270,1556350,168920,Household Products,"Home Equipment, Furnishings",2022,,,,,,,,
1713,DuPont,280,1716000,1069300,646700,Chemicals,Chemicals,2022,,,,,,,,
1714,Stryker,460,1710800,1511400,199400,Health Care,Medical Products and Equipment,2022,,,,,,,,
1715,NextEra Energy,150,1706900,1349600,357300,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1716,Targa Resources,24,1694980,1687860,7120,Energy,Pipelines,2022,,,,,,,,
1717,Western Digital,656,1692200,1610100,82100,Technology,"Computers, Office Equipment",2022,,,,,,,,
1718,PPG Industries,493,1680200,1536300,143900,Chemicals,Chemicals,2022,,,,,,,,
1719,American Electric Power,167,1679200,1430390,248810,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1720,Gap,970,1667000,1641400,25600,Retailing,Specialty Retailers: Apparel,2022,,,,,,,,
1721,BJ&#8217;s Wholesale Club,340,1666730,1624060,42670,Retailing,General Merchandisers,2022,,,,,,,,
1722,Reinsurance Group of America,35,1665800,1604100,61700,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1723,Kinder Morgan,105,1661000,1482600,178400,Energy,Pipelines,2022,,,,,,,,
1724,Oneok,28,1654030,1504060,149970,Energy,Pipelines,2022,,,,,,,,
1725,Expeditors Intl. of Washington,191,1652350,1510800,141550,Transportation,Transportation and Logistics,2022,,,,,,,,
1726,Advanced Micro Devices,155,1643400,1327200,316200,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1727,Fiserv,440,1622600,1489200,133400,Business Services,Financial Data Services,2022,,,,,,,,
1728,Estée Lauder,533,1621500,1334500,287000,Household Products,Household and Personal Products,2022,,,,,,,,
1729,Bank of New York Mellon,491,1615800,1239900,375900,Financials,Commercial Banks,2022,,,,,,,,
1730,Laboratory Corp. of America,717,1612090,1374360,237730,Health Care,Health Care: Pharmacy and Other Services,2022,,,,,,,,
1731,Regeneron Pharmaceuticals,104,1607170,799640,807530,Health Care,Pharmaceuticals,2022,,,,,,,,
1732,Land O'Lakes,90,1591640,1562900,28740,"Food, Beverages & Tobacco",Food Consumer Products,2022,,,,,,,,
1733,Cheniere Energy,16,1586400,1820700,-234300,Energy,Pipelines,2022,,,,,,,,
1734,Southwest Airlines,551,1579000,1481300,97700,Transportation,Airlines,2022,,,,,,,,
1735,Adobe,260,1578500,1096300,482200,Technology,Computer Software,2022,,,,,,,,
1736,Synchrony Financial,180,1575200,1153100,422100,Financials,Diversified Financials,2022,,,,,,,,
1737,Corteva,210,1565500,1389600,175900,"Food, Beverages & Tobacco",Food Production,2022,,,,,,,,
1738,Fidelity National Financial,283,1564300,1322100,242200,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1739,DTE Energy,103,1536900,1446200,90700,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1740,Murphy USA,104,1531880,1492190,39690,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1741,Halliburton,400,1529500,1383800,145700,Energy,"Oil and Gas Equipment, Services",2022,,,,,,,,
1742,Automatic Data Processing,560,1500540,1240690,259850,Business Services,Diversified Outsourcing Services,2022,,,,,,,,
1743,Edison International,130,1490500,1414600,75900,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1744,BorgWarner,493,1483800,1430100,53700,Motor Vehicles & Parts,Motor Vehicles and Parts,2022,,,,,,,,
1745,Nordstrom,720,1478900,1461100,17800,Retailing,General Merchandisers,2022,,,,,,,,
1746,Loews,103,1465700,1307900,157800,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1747,Guardian Life Ins. Co. of America,92,1464780,1435900,28880,Financials,"Insurance: Life, Health (Mutual)",2022,,,,,,,,
1748,Pioneer Natural Resources,19,1464300,1252500,211800,Energy,"Mining, Crude-Oil Production",2022,,,,,,,,
1749,AutoZone,851,1462960,1245930,217030,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1750,Lam Research,141,1462620,1071770,390850,Technology,Semiconductors and Other Electronic Components,2022,,,,,,,,
1751,American Family Insurance Group,136,1461190,1387740,73450,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1752,Illinois Tool Works,450,1445500,1176100,269400,Industrials,Industrial Machinery,2022,,,,,,,,
1753,Parker-Hannifin,546,1434760,1260150,174610,Industrials,Industrial Machinery,2022,,,,,,,,
1754,Otis Worldwide,700,1429800,1305200,124600,Industrials,Industrial Machinery,2022,,,,,,,,
1755,Omnicom Group,717,1428940,1288160,140780,Business Services,"Advertising, Marketing",2022,,,,,,,,
1756,Principal Financial,186,1426270,1255210,171060,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1757,Dominion Energy,171,1421800,1093000,328800,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1758,Kellogg,310,1418100,1269300,148800,"Food, Beverages & Tobacco",Food Consumer Products,2022,,,,,,,,
1759,Fluor,406,1415680,1459700,-44020,Engineering & Construction,"Engineering, Construction",2022,,,,,,,,
1760,AECOM,510,1411240,1393920,17320,Engineering & Construction,"Engineering, Construction",2022,,,,,,,,
1761,Reliance Steel & Aluminum,140,1409330,1268030,141300,Materials,Metals,2022,,,,,,,,
1762,Jacobs Engineering Group,535,1409260,1361560,47700,Engineering & Construction,"Engineering, Construction",2022,,,,,,,,
1763,Corning,612,1408200,1217600,190600,Industrials,"Electronics, Electrical Equip.",2022,,,,,,,,
1764,Farmers Insurance Exchange,118,1405500,1442180,-36680,Financials,Insurance: Property and Casualty (Mutual),2022,,,,,,,,
1765,Qurate Retail,267,1404400,1370400,34000,Retailing,Internet Services and Retailing,2022,,,,,,,,
1766,Pacific Life,39,1393600,1283400,110200,Financials,"Insurance: Life, Health (Stock)",2022,,,,,,,,
1767,PulteGroup,62,1392690,1198060,194630,Engineering & Construction,Homebuilders,2022,,,,,,,,
1768,Fidelity National Information Services,650,1387700,1346000,41700,Business Services,Financial Data Services,2022,,,,,,,,
1769,IQVIA Holdings,790,1387400,1290800,96600,Health Care,Health Care: Pharmacy and Other Services,2022,,,,,,,,
1770,Marriott International,1200,1385700,1275800,109900,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2022,,,,,,,,
1771,Berry Global Group,470,1385000,1311700,73300,Materials,"Packaging, Containers",2022,,,,,,,,
1772,Ball,243,1381100,1293300,87800,Materials,"Packaging, Containers",2022,,,,,,,,
1773,Group 1 Automotive,137,1380170,1324960,55210,Retailing,"Automotive Retailing, Services",2022,,,,,,,,
1774,Leidos Holdings,430,1373700,1298400,75300,Technology,Information Technology Services,2022,,,,,,,,
1775,Wayfair,167,1370800,1383900,-13100,Retailing,Internet Services and Retailing,2022,,,,,,,,
1776,Consolidated Edison,139,1367600,1233000,134600,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1777,Ameriprise Financial,120,1344300,1068300,276000,Financials,Diversified Financials,2022,,,,,,,,
1778,Xcel Energy,113,1343100,1183400,159700,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1779,O'Reilly Automotive,762,1332760,1116290,216470,Retailing,Specialty Retailers: Other,2022,,,,,,,,
1780,Global Partners,30,1324830,1318750,6080,Wholesalers,Wholesalers: Diversified,2022,,,,,,,,
1781,Discover Financial Services,167,1322100,777200,544900,Financials,Commercial Banks,2022,,,,,,,,
1782,Rocket Companies,260,1317560,1286740,30820,Financials,Diversified Financials,2022,,,,,,,,
1783,LKQ,460,1308850,1199760,109090,Wholesalers,Wholesalers: Diversified,2022,,,,,,,,
1784,W.W. Grainger,235,1302200,1197900,104300,Wholesalers,Wholesalers: Diversified,2022,,,,,,,,
1785,Quanta Services,437,1298020,1249420,48600,Engineering & Construction,"Engineering, Construction",2022,,,,,,,,
1786,Crown Holdings,260,1297900,1353900,-56000,Materials,"Packaging, Containers",2022,,,,,,,,
1787,Fox,90,1290900,1075900,215000,Media,Entertainment,2022,,,,,,,,
1788,Sempra,154,1285700,1154000,131700,Energy,Utilities: Gas and Electric,2022,,,,,,,,
1789,Markel,203,1284640,1042140,242500,Financials,Insurance: Property and Casualty (Stock),2022,,,,,,,,
1790,Carvana,210,1281400,1294900,-13500,Retailing,"Automotive Retailing, Services",2022,,,,,,,,
1791,XPO Logistics,447,1280600,1247000,33600,Transportation,Transportation and Logistics,2022,,,,,,,,
1792,Baxter International,600,1278400,1150000,128400,Health Care,Medical Products and Equipment,2022,,,,,,,,
1793,Ecolab,470,1273310,1160320,112990,Chemicals,Chemicals,2022,,,,,,,,
1794,Tractor Supply,340,1273110,1173400,99710,Retailing,Specialty Retailers: Other,2022,,,,,,,,
